RUN	viade.Simulation2	simulation2	1588099105164	Miscelanea, ramp up 50 users in 60 seconds	3.3.1
REQUEST	13		request_2 Redirect 1	1588099124990	1588099125491	OK	 
REQUEST	9		request_7	1588099123629	1588099125693	OK	 
REQUEST	9		mashlib.min.js	1588099123627	1588099125719	OK	 
REQUEST	13		solid.css	1588099125492	1588099125733	OK	 
REQUEST	9		request_5	1588099123628	1588099125734	OK	 
REQUEST	12		request_3	1588099125204	1588099125741	OK	 
REQUEST	9		request_8	1588099123629	1588099125769	OK	 
REQUEST	9		request_6	1588099123629	1588099125777	OK	 
REQUEST	16		request_0 Redirect 1	1588099124892	1588099125786	OK	 
REQUEST	13		bootstrap.min.css	1588099125492	1588099125794	OK	 
REQUEST	17		request_0	1588099125084	1588099125815	OK	 
REQUEST	14		request_1	1588099125183	1588099125847	OK	 
REQUEST	7		request_10	1588099124636	1588099125939	OK	 
REQUEST	7		request_12	1588099124636	1588099126059	OK	 
REQUEST	7		request_13	1588099124636	1588099126064	OK	 
REQUEST	7		request_15	1588099124637	1588099126070	OK	 
REQUEST	7		request_14	1588099124637	1588099126071	OK	 
REQUEST	12		request_3 Redirect 1	1588099125742	1588099126071	OK	 
USER	Simulation2	18	START	1588099126080	1588099126080
REQUEST	7		request_16	1588099124948	1588099126214	OK	 
REQUEST	16		solid.css	1588099125788	1588099126219	OK	 
REQUEST	16		auth-buttons.js	1588099125789	1588099126224	OK	 
REQUEST	10		request_4	1588099124525	1588099126240	OK	 
REQUEST	12		request_3 Redirect 2	1588099126071	1588099126260	OK	 
REQUEST	16		bootstrap.min.css	1588099125788	1588099126275	OK	 
REQUEST	17		request_0 Redirect 1	1588099125815	1588099126282	OK	 
REQUEST	6		request_17	1588099125970	1588099126337	OK	 
REQUEST	16		solid-auth-client.bundle.js	1588099125788	1588099126378	OK	 
REQUEST	10		mash.css	1588099126241	1588099126420	OK	 
REQUEST	18		request_0	1588099126080	1588099126431	OK	 
REQUEST	17		bootstrap.min.css	1588099126284	1588099126478	OK	 
REQUEST	12		request_3 Redirect 3	1588099126260	1588099126510	OK	 
REQUEST	8		request_9	1588099126400	1588099126723	OK	 
REQUEST	17		solid.css	1588099126284	1588099126730	OK	 
REQUEST	17		auth-buttons.js	1588099126285	1588099126769	OK	 
REQUEST	6		request_17 Redirect 1	1588099126338	1588099126802	OK	 
REQUEST	8		request_11	1588099126724	1588099126827	OK	 
REQUEST	17		solid-auth-client.bundle.js	1588099126284	1588099126851	OK	 
REQUEST	15		request_1	1588099126491	1588099126877	OK	 
REQUEST	9		request_9	1588099126784	1588099126891	OK	 
REQUEST	6		bootstrap.min.css	1588099126804	1588099126915	OK	 
USER	Simulation2	19	START	1588099127070	1588099127070
REQUEST	18		request_0 Redirect 1	1588099126432	1588099127207	OK	 
REQUEST	14		request_2	1588099126830	1588099127209	OK	 
REQUEST	9		request_11	1588099126893	1588099127218	OK	 
REQUEST	13		request_3	1588099126805	1588099127236	OK	 
REQUEST	11		request_4	1588099126183	1588099127241	OK	 
REQUEST	6		solid.css	1588099126804	1588099127468	OK	 
REQUEST	6		auth-buttons.js	1588099126805	1588099127472	OK	 
REQUEST	6		solid-auth-client.bundle.js	1588099126804	1588099127499	OK	 
USER	Simulation2	6	END	1588099112085	1588099127501
REQUEST	10		request_5	1588099126242	1588099127533	OK	 
REQUEST	13		request_3 Redirect 1	1588099127236	1588099127540	OK	 
REQUEST	11		mash.css	1588099127242	1588099127556	OK	 
REQUEST	19		request_0	1588099127070	1588099127595	OK	 
REQUEST	10		request_7	1588099126243	1588099127636	OK	 
